Autor,Posts,Date,content
"
Simone_DF",905 posts,11/01/2021 05:48  PM,"

Advertisement (gone after registration)



 


		15 minutes ago, Kwesi said:
	


			I think we will see an interchangeable lens Q long before we see an EVF M
		



	That is fine. I'd be much happier with a ILC Q than a EVF M to be honest. Best of both worlds. 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
mmradman","3,604 posts",11/01/2021 05:51  PM,"



		46 minutes ago, jaapv said:
	


			If absolute image quality is a concern I would never consider using an Super-Angulon. Nor any M lens, especially older ones, to be honest. They are amazing - for their size, but that same size is a quality constraint. If you want the highest quality possible, you must look at SL (and some R) lenses. If you are looking for character, the story is different...
		

			 
		

			 
		



	I believe LCT meant quality of the camera, Sony could be forgiven as being much cheaper than similarly sensored Leica yet more versatile.

"
"
84bravo",150 posts,11/01/2021 05:56  PM,"


	I'm firmly in the rangefinder camp when it comes to Leica. I use digital Leica M cameras professionally, just as I used film Ms before. That said, I'd buy an EVF ""M"" style camera (full frame, M lenses) in a heartbeat if it were offered at $3500 new. I just don't see that price happening with Leica, though.


	I would pass on that body if it were in the same price range as the M10-P or M10-R. I have Canon mirrorless professional cameras that suit my needs just fine that are a lot more flexible for me.

"
"
pgk","11,617 posts",11/01/2021 06:03  PM,"



		1 hour ago, lct said:
	


			IQ is certainly the highest concern for me. I can accept compromises on IQ at Sony prices, not Leica's. YMMV.
		



	Try the Sony 20/1.8 and 21mm Super-Elmar and say that 😁. Sony make some very good lenses indeed. These are new designs built for use with their A series cameras and whilst nowhere near as small as the M lenses they can provide exceptional image quality.



		1 hour ago, jaapv said:
	


			If absolute image quality is a concern I would never consider using an Super-Angulon. Nor any M lens, especially older ones, to be honest. They are amazing - for their size, but that same size is a quality constraint. If you want the highest quality possible, you must look at SL (and some R) lenses. If you are looking for character, the story is different...
		



	Indeed. So why would would anyone build a new camera especially for these lenses? It baffles me. They are what they are - superb companions to an iconic rangefindewr system. Why not leave them where they work best? But see my comment above. Image quality is no longer the perogative of the few.

"
"
Artin","1,624 posts",11/01/2021 06:19  PM,"



		10 minutes ago, pgk said:
	


			Try the Sony 20/1.8 and 21mm Super-Elmar and say that 😁. Sony make some very good lenses indeed. These are new designs built for use with their A series cameras and whilst nowhere near as small as the M lenses they can provide exceptional image quality.
		

			Indeed. So why would would anyone build a new camera especially for these lenses? It baffles me. They are what they are - superb companions to an iconic rangefindewr system. Why not leave them where they work best? But see my comment above. Image quality is no longer the perogative of the few.
		



	The very reason is what you have been discussing here. a New camera like that in native M mount will open up a huge opportunity to take advantage of both the older lenses with their unique signatures , and the new lenses that have the best available IQ. 


	 And to answer the other post as for a Q with interchangeable lenses yes it would be a huge hit.. I would buy one in a heart beat.. 


	The whole reason and purpose is to have a more advanced option for 70+ years of optics available to us 

"
"
lct","22,167 posts",11/01/2021 06:25  PM,"



		12 minutes ago, pgk said:
	


			Try the Sony 20/1.8 and 21mm Super-Elmar and say that 😁. Sony make some very good lenses indeed. These are new designs built for use with their A series cameras and whilst nowhere near as small as the M lenses they can provide exceptional image quality.
		



	Not the point i was making sorry if i wasn't clear. I was not referring to Sony lenses i have no experience with. Only Sony bodies i know well like my Kolari mod A7s and A7r2. 

"
"
jaapv","66,389 posts",11/01/2021 06:32  PM,"



		1 hour ago, lct said:
	


			I'm after the best IQ possible for M lenses. Any of them. Old or new. Like most of us here i guess. Only sensors designed for M lenses can provide that. 
		



	Well I am not. I am not interested in things like resolution or sharpness (whatever that may be) that have very little if anything to do with the quality of my images. My first three quality parameters are rendering rendering and rendering. 

"
"
lct","22,167 posts",11/01/2021 06:34  PM,"



		1 minute ago, jaapv said:
	


			Well I am not. I am not interested in things like resolution or sharpness (whatever that may be) that have very little if anything to do with the quality of my images. My first three quality parameters are rendering rendering and rendering. 
		



	Then for a given M lens, the better rendering will be provided by a sensor designed for it, don't you think so?

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
setuporg",967 posts,11/01/2021 06:35  PM,"



		On 10/30/2021 at 8:00 AM, a.noctilux said:
	


			Checked 'stir the POT'
		



	Gumbo for lunch!:)

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
SrMi","1,853 posts",11/01/2021 06:44  PM,"



		1 hour ago, lct said:
	


			An interchangeable lens Q would not be a Q anymore. Give it an M mount et voilà the EVF M .
		



	Essential element of a Q is AF. Essential element of an M is MF.

"
"
Artin","1,624 posts",11/01/2021 06:50  PM,"


	Dam it I should have Bought Leits Canada plant back then. I would have made an all Canadian version of my dream Camera 


	THE ELCAN DIGITAL FULL RAME, IBIS, 80MPX, Manual focus and all  

"
"
lct","22,167 posts",11/01/2021 06:58  PM,"



		9 minutes ago, SrMi said:
	


			Essential element of a Q is AF. Essential element of an M is MF.
		



	Essential i don't know but with interchangeable lenses it won't be a Q anymore . So either you give it an L mount and it will be a compact SL, or an M mount and it will be an EVF M.

"
"
Artin","1,624 posts",11/01/2021 07:08  PM,"



		9 minutes ago, lct said:
	


			Essential i don't know but with interchangeable lenses it won't be a Q anymore . So either you give it an L mount and it will be a compact SL, or an M mount and it will be an EVF M.
		



	I wish it had interchangeable Mount of some sort I would have had a pair of them by now .. I just do not like fixed focal cameras at all 


Edited Monday at 07:08  PM by Artin

"
"
Kwesi",816 posts,11/01/2021 07:13  PM,"



		1 minute ago, Artin said:
	


			I wish it had interchangeable Mount of some sort I would have had a pair of them by now .. I just do not like fixed focal cameras at all 
		



	The reason why you don't see that option is that the uniqueness of the Q allows Leica to not have to compete on price with other manufacturers.


	Same goes for the M which is why as much as I like the idea of your hypothetical camera, I don't see Leica bringing it to market at the price point you stated.

"
"
pgk","11,617 posts",11/01/2021 07:23  PM,"

Advertisement (gone after registration)



 


		45 minutes ago, lct said:
	


			Then for a given M lens, the better rendering will be provided by a sensor designed for it, don't you think so?
		



	But that is the point. The sensor is not designed for it (an M lens), it is designed for them (a compromise for ALL M lenses) and they vary in their requirements of a sensor. Should it perform with ALL M lenses or just the latest. Can we discard those (such as the SA) which don't work well on digital?

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
lct","22,167 posts",11/01/2021 07:29  PM,"



		4 minutes ago, pgk said:
	


			But that is the point. The sensor is not designed for it (an M lens), it is designed for them (a compromise for ALL M lenses) and they vary in their requirements of a sensor. Should it perform with ALL M lenses or just the latest. Can we discard those (such as the SA) which don't work well on digital?
		



	I don't see a point here. Sensors designed for M lenses are simply better for them that anything else.

"
"
jaapv","66,389 posts",11/01/2021 07:49  PM,"



		1 hour ago, lct said:
	


			Then for a given M lens, the better rendering will be provided by a sensor designed for it, don't you think so?
		



	From practical experience the answer is no, depending on which lens. 

"
"
Tailwagger","2,105 posts",11/01/2021 08:36  PM,"



		3 hours ago, jaapv said:
	


			Leica is not moving to Sony sensors. Sony was always a prime supplier - The Digilux2, the X series,they all had Sony sensors, even the 240 was intended to have one ( but Sony could not supply the specification) 
		



	I'm aware of this, as I expect you are that to date they have never supplied a sensor for FF, which is what were talking about.

"
"
mmradman","3,604 posts",11/01/2021 08:41  PM,"



		1 hour ago, pgk said:
	


			But that is the point. The sensor is not designed for it (an M lens), it is designed for them (a compromise for ALL M lenses) and they vary in their requirements of a sensor. Should it perform with ALL M lenses or just the latest. Can we discard those (such as the SA) which don't work well on digital?
		



	Actually lot (probably all) of digital cameras provide some level of in-camera correction for its native lenses.


	I think it has been observed that with every new generation of M camera some of the “problematic” lenses starting to behave better (just an opinion).  Ok some lenses may be beyond correction but we are talking minority of historical wide angle lenses, all in all a Leica camera with M mount regardless of viewing/focusing means should have sensor stack and firmware optimised for own lenses, after all lens detection is not just for show.

"
"
Tailwagger","2,105 posts",11/01/2021 08:50  PM,"



		1 hour ago, Artin said:
	


			Dam it I should have Bought Leits Canada plant back then. I would have made an all Canadian version of my dream Camera 
		

			THE ELCAN DIGITAL FULL RAME, IBIS, 80MPX, Manual focus and all  
		



	This reminds me of the famous phrase uttered to newbies upon beginning their first experiences at the track.


	Q:  How do you make a small fortune in racing?


	A: Start with a large one. 

"
"
Tailwagger","2,105 posts",11/01/2021 09:31  PM,"

Advertisement (gone after registration)



 


		1 hour ago, jaapv said:
	


			From practical experience the answer is no, depending on which lens. 
		



	I own several multi-thousand dollar M lenses that significantly underperform, unacceptably so, on the SL2.  When compared to the same lens on the 10-R or a native L optic costing far less, the loss of fidelity and smearing in the corners is obvious. This is fact, not conjecture and has been demonstrated several times on these pages. Physics dictates that any M lens which projects at higher levels of incidence will underperform noticeably up to and beyond 1k by 1K in the corners when mounted to anything other than an M.  From practical experience, thats anything from 35mm on down. One assumes Leica didn't go to all the trouble and expense to provide micro-lensing and thinest cover glass possible just for fun;  the simplest of comparisons demonstrates what motivated them.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
jaapv","66,389 posts",11/01/2021 09:48  PM,"


	My Summilux 24 performs very similarly on myS5 as it did on my M240, my Summicron 35 does better. 

"
"
Anbaric",888 posts,11/01/2021 10:37  PM,"



		7 hours ago, leica4life21 said:
	


			This is a video of the German factory (with German people) making a Leica M9 from beginning to end. 
		



	Listen carefully to what is being said (in English) in the first minute. There'll be a comprehension test later.

"
"
SrMi","1,853 posts",11/01/2021 10:42  PM,"



		2 hours ago, Tailwagger said:
	


			I'm aware of this, as I expect you are that to date they have never supplied a sensor for FF, which is what were talking about.
		



	It has been speculated that SL2-S is using a Sony sensor.

"
"
pop","21,130 posts",11/01/2021 10:48  PM,"


	The proof of the pudding is in the eating.

"
"
pippy","3,167 posts",11/01/2021 10:53  PM,"



		On 10/30/2021 at 3:51 PM, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	Sorry to drag the thread back to the opening post but...


	No.


	OK; back to where you were!


	Philip.

"
"
LocalHero1953","8,858 posts",11/01/2021 11:03  PM,"



		5 hours ago, lct said:
	


			An interchangeable lens Q would not be a Q anymore. Give it an M mount et voilà the EVF M .
		



	Why not? Does Q stand for FixedLensFullFrameAutoFocusOpticallyStabilisedCamera in German?


	 


😁 😁😁😁😁😁

"
"
Artin","1,624 posts",11/01/2021 11:08  PM,"


	Regardless of how most of us feel,  I really think it is inevitable, sooner then later Leica will jump into the compact full frame market. I just wish , but I am not that hopeful that it will be a manual focus platform and most likely it will not be using the M mount which again will somewhat justify by adapters. It will most likely be the evolution of the Q .. and again it will be an ungainly outfit with a whale of a lens sticking in front of a compact body and totally disappoint me. So I will stick to what is available and just keep on taking pictures.


Edited Monday at 11:09  PM by Artin

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
JonPB",193 posts,11/01/2021 11:25  PM,"


	I'd be intrigued by an M-mount and M-lens-compatible-sensor that is designed for use with an accessory optical finder (i.e., exposure/warning lights visible while using it) but uses the electronic display(s) for focusing. It could then adjust exposure and contrast to reveal focus without regard to exposure or framing. If a custom sensor (not just a stack), the live-view readout area could be limited to achieve power, temperature, and architectural benefits.


	This could just be a mode on pretty much any electronic-finder camera with a thin-filter mod: default to magnified view, etc. But, ergonomics are critical and I'm not sure anyone other than Leica or Cosina would have the institutional experience to get the interface right.


	With an accessory-finder-oriented design, I'd consider an EVF M... although it'd have to have benefits that go beyond a previous-gen messsucher M at the same price point.


	Skeptical but persuadable.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Tailwagger","2,105 posts",11/02/2021 12:16  AM,"



		1 hour ago, SrMi said:
	


			It has been speculated that SL2-S is using a Sony sensor.
		



	Interesting, hadn't paid much attention to that camera. 

"
"
IkarusJohn","10,120 posts",11/02/2021 12:40  AM,"


	I must say, I’m baffled by the discussion of an interchangeable lens Q camera.  What is it about the Q that people want to turn into a system?


	The Q has autofocus, a dedicated sensor/lens combination, with a leaf shutter.  So such a camera would demand a new sensor, compatible with other lenses and a new line of leaf shutter lenses … you couldn’t use M lenses, unless the camera switched to an electronic shutter.


	Conversely, the existing M camera already has a body, mount, shutter, sensor, processor etc compatible with almost all of coming on for 70 years of lenses.


	The choice, I would have thought, (if Leica is developing a new body) is between a smaller SL or an EVF M.  The SL is a universal platform for almost every Leica lens.  Why would they make it smaller?  The only gap, surely, is an M mount camera that is full frame, the size of the M or Q that is also manual focus - BUT with an EVF ….

"
"
adan","10,765 posts",11/02/2021 12:44  AM,"



		4 minutes ago, IkarusJohn said:
	


			The only gap, surely, is an M mount camera that is full frame, the size of the M or Q that is also manual focus - BUT with an EVF ….
		



	Warning in the London Tube - ""Mind the Gap!!""

"
"
setuporg",967 posts,11/02/2021 12:55  AM,"



		6 hours ago, SrMi said:
	


			Essential element of a Q is AF. Essential element of an M is MF.
		



	In other words, Q for AFer, M for MFer.

"
"
Tailwagger","2,105 posts",11/02/2021 12:56  AM,"



		2 hours ago, jaapv said:
	


			My Summilux 24 performs very similarly on myS5 as it did on my M240, my Summicron 35 does better. 
		



	And you've done direct side by side comparisons at infinity or is this just your impression? My ZD 35, 21mm SEM and WATE clearly do not and I've posted side by side shots here  and in another thread I can't locate at the moment which clearly demonstrate that.  AFAIC, one fail, all fail.

"
"
jaapv","66,389 posts",11/02/2021 01:30  AM,"

Advertisement (gone after registration)



 

	Not side by side,  but comparing a considerable number of shots. As we all know an image is a composite of lens and sensor performance,  which means that it is not possible to make sweeping statements about ""all Leica lenses. on. all other brands"" Some. do indeed perform badly, some adequately, some the same and a few better.  Whether this has any impact on the quality of. the photograph is an open question. My answer would be: rarely, as subsequent. postprocessing. will. make far. more difference - see the amazing improvement. of. the Voigtländer Ultra-Wide Heliar; on a Leica sensor it performs well, on a Panasonic sensor abysmally bad, and.Topaz Sharpen AI thinks that smearing is motion blur,  and cleans it up to a high level.  Try the same. trick on a Summicron C40 which has notoriously bad. corners on foreign sensors  and it does not work, if anything, the corners get worse. 


	As for the Panasonic S series sensors I have a strong suspicion that they are the same as the Leica SL2 ones, or at least close cousins. The Photographic Dynamic Range curves are virtually identical (with one anomaly in a non-measured bit) Only the Bayer filters appear to differ.


	As an aside: which SEM? I have no complaints about the 18.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Camaro5",107 posts,11/02/2021 01:32  AM,"



		On 10/30/2021 at 7:51 AM, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	What it sounds like to me is a hybrid SL2 with an M mount.  With just manual focus and no rangefinder you would just have focus peaking or nothing.  Might not be too bad with a focus-zoom aid, but it seems like critical focus might be hard to achieve.  


	All the other specs sound good but it wouldn't be for me without a decent focusing system.  

"
"
Artin","1,624 posts",11/02/2021 01:42  AM,"



		9 minutes ago, Camaro5 said:
	


			What it sounds like to me is a hybrid SL2 with an M mount.  With just manual focus and no rangefinder you would just have focus peaking or nothing.  Might not be too bad with a focus-zoom aid, but it seems like critical focus might be hard to achieve.  
		

			All the other specs sound good but it wouldn't be for me without a decent focusing system.  
		



	If you have not focused an M lens on an SL2.  You would be surprised on how fast and accurate it is. Again the key is a vary hi resolution evf something in line with the A1 

"
"
SrMi","1,853 posts",11/02/2021 01:43  AM,"



		11 minutes ago, jaapv said:
	


			Not side by side,  but comparing a considerable number of shots. As we all know an image is a composite of lens and sensor performance,  which means that it is not possible to make sweeping statements about ""all Leica lenses. on. all other brands"" Some. do indeed perform badly, some adequately, some the same and a few better.  Whether this has any impact on the quality of. the photograph is an open question. My answer would be: rarely, as subsequent. postprocessing. will. make far. more difference - see the amazing improvement. of. the Voigtländer Ultra-Wide Heliar; on a Leica sensor it performs well, on a Panasonic sensor abysmally bad, and.Topaz Sharpen AI thinks that smearing is motion blur,  and cleans it up to a high level.  Try the same. trick on a Summicron C40 which has notoriously bad. corners on foreign sensors  and it does not work, if anything, the corners get worse. 
		

			As for the Panasonic S series sensors I have a strong suspicion that they are the same as the Leica SL2 ones, or at least close cousins. The Photographic Dynamic Range curves are virtually identical (with one anomaly in a non-measured bit) Only the Bayer filters appear to differ.
		

			As an aside: which SEM? I have no complaints about the 18.
		



	Sean Reids’s analysis concludes that SR1 is not a great platform for RF lenses.

"
"
Tailwagger","2,105 posts",11/02/2021 01:52  AM,"



		1 hour ago, IkarusJohn said:
	


			I must say, I’m baffled by the discussion of an interchangeable lens Q camera.  What is it about the Q that people want to turn into a system?
		



	While I'm in sync with your post, in thinking about it, one could imagine an FF X1D if you will. Nothing to do with an M evf, of course. Presumably L mount. Perhaps the writing is on the wall for the S and someday we'll see some versions of L glass with leaf shutters for studio use, though could they be compact enough for a Q style camera?  Dunno. Could be an interesting camera though. 

"
"
Artin","1,624 posts",11/02/2021 02:06  AM,"


	The big draw back of autofocus is the sheer size of the lenses. Specifically the sheer size of the fast lenses. Take a look at a simple difference in the Sl 50 summilux vs the M summilux.. this is where the sheer advantage of my hypothetical camera comes into play.. and in all honesty my biggest attraction to the M system has always been the lenses. I love shooting wide open fast lenses , in my opinion it sets the mood and the drama of an image. And the amount of fast lenses available in the M system new or legacy is just not served well enough with the current lineup of  M cameras. 
	 Most every other systems offer numerous options at different price levels and capabilities. What we get for the M is just very thin in my opinion 

"
"
Tailwagger","2,105 posts",11/02/2021 02:10  AM,"

Advertisement (gone after registration)



 


		22 minutes ago, jaapv said:
	


			Not side by side,  but comparing a considerable number of shots. As we all know an image is a composite of lens and sensor performance,  which means that it is not possible to make sweeping statements about ""all Leica lenses. on. all other brands"" Some. do indeed perform badly, some adequately, some the same and a few better.  Whether this has any impact on the quality of. the photograph is an open question. My answer would be: rarely, as subsequent. postprocessing. will. make far. more difference - see the amazing improvement. of. the Voigtländer Ultra-Wide Heliar; on a Leica sensor it performs well, on a Panasonic sensor abysmally bad, and.Topaz Sharpen AI thinks that smearing is motion blur,  and cleans it up to a high level.  Try the same. trick on a Summicron C40 which has notoriously bad. corners on foreign sensors  and it does not work, if anything, the corners get worse. 
		

			As for the Panasonic S series sensors I have a strong suspicion that they are the same as the Leica SL2 ones, or at least close cousins. The Photographic Dynamic Range curves are virtually identical (with one anomaly in a non-measured bit) Only the Bayer filters appear to differ.
		

			As an aside: which SEM? I have no complaints about the 18.
		



	21mm.  I'm sure some perform better than others and I'd be the first to agree that there are many circumstances where'd you'd never notice a problem.  Corners are often OoF anyway or contain nothing of interest. Close focusing diminishes the angle of incidence lessening the effect and typically involves OoF backgrounds where any smearing could be put down to bokeh and might actually be welcome anyway.  My annoyance with this subject is partially due to my own collection of wide glass which sees a lot of use and tends to fares poorly, but also with the hit or miss nature of what works, what doesn't and under what circumstances... particularly for the sums involved.  It's why an adapted EVF solution for M glass is a non starter with me, unless the sensor has the same attributes of the M (microlensing, thin cover glass).

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
cboy",298 posts,11/02/2021 02:57  AM,"



		On 10/31/2021 at 12:51 AM, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	Panasonic and leica made equivalent compacts as i recall. So if ever this would come to reality then it'd be an evf rangefinder in L mount. A japanese leica. Sound like this was done before lol

"
"
IkarusJohn","10,120 posts",11/02/2021 03:39  AM,"


	I agree you take your pick with M lenses on other bodies (hence my comment that any such EVF based camera would be best starting from an M10 or M11 camera), but as generalisations go, it's fair to say that M lenses work best with cameras designed for them - an M camera of an SL.  I'm ignoring APS and other cropped formats, as they just take the centre of the image field.


	We are discussing a full frame camera, designed and made by Leica with an M mount, but with an EVF, aren't we?

"
"
lct","22,167 posts",11/02/2021 04:57  AM,"


	I wonder if some good people claiming that M sensors make no significant difference are not the same who said the opposite to demonstrate the superiority of rangefinders .  

"
"
Kim Dahl",196 posts,11/02/2021 07:20  AM,"


	1. The problem of blurred corners for M wide angle lenses. <35 mm 


	2. EVF


	3. The size of the camera.  


	If CL would be further developed I think we would have one of the best EVF camera which solves the problems which would come with a ""Q"" with replaceable lens.


	 I tried that solution a month ago.  It works really well, as several of you have also tried.


	Love the size ❤️📷

"
"
jaapv","66,389 posts",11/02/2021 09:17  AM,"


	However, the appeal of an EVF camera with an M mount would be limited to a not too large percentage of existing Leica M users. Many of that group would reject a non-RF camera.
	The appeal of a mirrorless camera that has none of the functions of  competitors and needs lenses that cost many thousands to the rest of the photographic world will be close to nil.
	How many of such cameras could Leica expect to sell? No more than the average. special edition, I would say. How much would the development cost?  Far more than an average special edition. 


	So what price could we expect? Fill in your own number of zeroes...

"
"
IkarusJohn","10,120 posts",11/02/2021 09:26  AM,"


	Right

"
"
LocalHero1953","8,858 posts",11/02/2021 09:30  AM,"


	Well, the CL had some appeal - quantities remain guesswork, or depending on your prejudices, sheer assumption.


	Is there really no market for a small, light, modern high IQ APSC or FF mirrorless interchangeable lens camera with a minimalist but capable interface? Has Leica given that market up to Fuji? If nothing else, Leica has shown that the M form factor, simple in shape and interface, is attractive to quite a lot of people. One lesson from the Q is that it can be styled like an M, but with modern tech, and sell well (I assume........).


Edited Tuesday at 09:31  AM by LocalHero1953

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
jaapv","66,389 posts",11/02/2021 10:07  AM,"



		59 minutes ago, LocalHero1953 said:
	


			Well, the CL had some appeal - quantities remain guesswork, or depending on your prejudices, sheer assumption.
		

			Is there really no market for a small, light, modern high IQ APSC or FF mirrorless interchangeable lens camera with a minimalist but capable interface? Has Leica given that market up to Fuji? If nothing else, Leica has shown that the M form factor, simple in shape and interface, is attractive to quite a lot of people. One lesson from the Q is that it can be styled like an M, but with modern tech, and sell well (I assume........).
		



	The CL has full mirrorless capability and is integrated in the L system. The q has plenty of modern features. An EVF M would lack all modern tech, that is the point.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
LocalHero1953","8,858 posts",11/02/2021 10:19  AM,"



		8 minutes ago, jaapv said:
	


			The CL has full mirrorless capability and is integrated in the L system. An EVF M would lack all modern tech, that is the point.
		



	Yes, I agree.

"
"
Alberti","2,934 posts",11/02/2021 10:25  AM,"

	I have the S5 now. happy: all M-lenses except one work. Great to use manual SLR lenses to, such as my old 50/100mm macro zoom. Big? Sure but I like the seamless focussing and the excellent quality in all distances. And the results are great: IBIS works to help me out and the speed can be set to 4.000 and even 20.000 asa. . . And of course the EVF is great. (But I would like the big res one, if that also is enlarged more). 
	When I use the lens profiles in  Lightroom I even get a great result in reducing the vignetting.
	So what I would like is an S5 with a native M-bayonet or 6-bit M-to-L adapter that reads the six-bits and  and sets the RAW capture accordingly. The Maestro then  corrects the corners and field curvature for instance. 
The corner correction is obvious. Each M-lens has a different fall-off.
The effect of lens correction is large, I tried a 35mm Lux profile and a Cron profile on a 35mm Cron picture and you can see the correction of the linearity taking place. Interesting what is going on in the background.)
But it can also correct fuzzy effects.
And most important:  IT IS NEEDED for IBIS. 
	 

Edited Tuesday at 10:34  AM by Alberti

"
"
Tailwagger","2,105 posts",11/02/2021 11:37  AM,"



		8 hours ago, IkarusJohn said:
	


			We are discussing a full frame camera, designed and made by Leica with an M mount, but with an EVF, aren't we?
		



	And crucially, sans OVF of course, excepting...



		12 hours ago, JonPB said:
	


			I'd be intrigued by an M-mount and M-lens-compatible-sensor that is designed for use with an accessory optical finder (i.e., exposure/warning lights visible while using it) but uses the electronic display(s) for focusing.
		



	It had occurred to me that an Mevf could use any of the existing optical finders on the hot shoe, much like the GRIII, but bravo, it's a very clever notion to consider something more sophisticated.  One could imagine an auxiliary hybrid optical finder, electronically coupled to the camera via the hot shoe with the ability to project not only the above, but frames lines depending on lens detected, perhaps even a magnified focus patch or as I suggest below, a simple focusing aid. 


	It was discussed previously in a different context, but the notion of a focus confirmation light has come up in the past. Such a feature might be able to be implemented by reusing  existing contrast detect code AF code minus the drive motor logic to signal the user via a light flash that the image (in some central bounding box, or movable point) is seen to be in focus.  My decade+ old 645D does something similar for older non-AF lenses or when in MF mode, flashing a red light when focus is hit. Perhaps these days something more sophisticated is possible with the light glowing brighter or dimmer or changing color to indicate how close/far out one is. Regardless, if we imagine an EVF based camera with a hot shoe capable of accepting an add on electro/optical finder that projects frame lines and generates a focus confirm, one could retain the critical aspects of the RF experience (OVF, seeing outside the lines) with the exception of having an actual focus patch and losing the double frame lines for a single one.


	With the current M we have a built-in OVF with an option add-on external EVF, with the new Leica W, which I so christen as such a camera turns the current model upside down, we have a camera with built-in EVF with and add-on OVF.  Personally, I think this could be killer... which is another reason to call it the W range as I suspect more than a few purists might go apoplectic at such heresy... W being an M that has gone legs up. 😆


Edited Tuesday at 11:40  AM by Tailwagger

"
"
Alberti","2,934 posts",11/02/2021 12:14  PM,"

And most important: Automatic transfer of lensdata IS NEEDED for IBIS. 
IBIS is very complex. 
While we think we have a '50mm lens', that exists almost nowhere. In fact, as Fiftyonepointsix knows, it is most often, 51,6mm, with some variances written on the lens. The shake reduction uses it to apply the correct amount. In the S5, I can enter ist as 51.6; my 35mm cron becomes a 36,something mm for instance, the M-Elmar 24 a 25mm. Its all very sophisticated.
And secondly, to perform a great handling, the lensdata should also transfer the data where the midpoint of the lens is, often the same place where the diaphragm is. (probably not in the Elmarit 90mm not for instance).
So the 6-bit should be a central part for a good 'mirrorless M camera'.
The other heart of the matter is of course a 6 million pixel viewfinder, a bit bigger magnification please than the S5, and please please: not blue but have it behave a bit better in colour.
Expensive? No, just let Panasonic developd the new body with the S5 as a template and have Leica do the the lens integration, the combo would happily serve the market with a price just like the S5.
I would never do away the rangefinder. In fact, the S5 made me look out to a 24MP BIS body . . My experience: at last we will have a CCD look again.

Edited Tuesday at 12:20  PM by Alberti

"
"
lct","22,167 posts",11/02/2021 12:31  PM,"



		9 minutes ago, Alberti said:
	


			And most important: Automatic transfer of lensdata IS NEEDED for IBIS.
		



	Fortunately not . Suffice it to enter the focal length in a menu, at least on my Sony. Should work the same on your Panasonic i guess but i have no experience with it. Now i would prefer a mirrorless camera with an M mount and 6-bit coding of course but when i see some conservative reactions here i suspect it won't happen before long, at Leica at least. 

"
"
lct","22,167 posts",11/02/2021 05:25  PM,"

Advertisement (gone after registration)



 

	Let alone that the demise of APS-C could mean that Leica is preparing a compact mirrorless a la Sigma FP. Would have an L mount to fit L and TL lenses though. Too bad for a mirrorless with M mount... 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Kim Dahl",196 posts,11/02/2021 05:31  PM,"



		5 minutes ago, lct said:
	


			Let alone that the demise of APS-C could mean that Leica is preparing a compact mirrorless a la Sigma FP. Would have an L mount to fit L and TL lenses though. Too bad for a mirrorless with M mount... 
		



	If Leica wanted to make a small FF camera with a +47 MP sensor then the small Tl lenses would fit.  Then I would be happy.  Then I could use it for my M lenses too.  So …🤞🏻🤞🏻🤞🏻

"
